Date,Message
24.12.2024 21:33:57 UTC+03:00,Скиньте ответы на контрольную по химии у Светланы Анатольевны
24.12.2024 21:34:02 UTC+03:00,Кому скинуть тикток матвея?
25.12.2024 07:53:01 UTC+03:00,как дискотека?
25.12.2024 07:53:13 UTC+03:00,"https://t.me/c/2455368652/358скинь я ему жалобы накидаю, за то что он меня шаурмой не угостил"
25.12.2024 07:53:27 UTC+03:00,muchachosthemexicanidiot кого это юз?
25.12.2024 07:57:03 UTC+03:00,"9й класс, какая песня на дискотеке больше всего понравилась?"
25.12.2024 08:25:39 UTC+03:00,"https://t.me/c/2455368652/362Все под будильник крида больше всего отплясывали. А остальные треки убрали из-за того что они за украину и инагенты. Только у нас такая залупа,в других же школах(я спрашивала) все нормально и никакие песни не ограничивали"
25.12.2024 08:31:28 UTC+03:00,"еще песня короля и шута «лесник » была ,«я тебя забыла я тебя не помню » и конечно же руки вверх поставили «18 мне уже» ; был еще медлячок басты ( мальчики танцевали отдельно , девочки тоже )"
25.12.2024 08:31:41 UTC+03:00,"дискотека хуйня была , «девочки приглашают мальчиков на медляк» это пиздец"
25.12.2024 10:14:22 UTC+03:00,Туалет на втором не перестаёт удивлять😱
25.12.2024 10:14:28 UTC+03:00,Харча 666 лет
25.12.2024 10:14:38 UTC+03:00,
25.12.2024 10:15:45 UTC+03:00,
25.12.2024 10:16:00 UTC+03:00,
25.12.2024 10:19:07 UTC+03:00,
25.12.2024 10:20:40 UTC+03:00,Кто xros посеял на входе?
25.12.2024 11:33:18 UTC+03:00,
25.12.2024 11:33:24 UTC+03:00,новая школа
25.12.2024 12:23:52 UTC+03:00,"РЕБЯТ!!! Кто-то уже делал лабораторку по арешкиной??? Прошу вас,помогите🙏🏻🙏🏻🙏🏻"
25.12.2024 12:39:11 UTC+03:00,"Кто забыл? На Клинской 24а, в 301 кабинете"
25.12.2024 12:39:21 UTC+03:00,Что за челы в понедельник на дискотеку в вайперов оделись? блондин свободен?
25.12.2024 12:39:32 UTC+03:00,"Зеленоградская 33б, наушники про, никто не находил, только кейс наушников нет, верните пожалуйста на  охрану!!!! чехол в виде чемодана"
25.12.2024 13:07:46 UTC+03:00,"https://t.me/c/2455368652/378тг блондина  aintyounigga зовут ваня, вроде свободен из айти"
25.12.2024 14:36:40 UTC+03:00,https://t.me/c/2455368652/380Так он же вроде сохнет по какой-то девке
25.12.2024 14:36:46 UTC+03:00,киньте ответы кр по химии юрьевой светланы анатольевны
25.12.2024 15:00:46 UTC+03:00,дайте тг ромы из айти со шторками который друг вани
25.12.2024 15:01:29 UTC+03:00,Дайте тг главного пердуна 9я класса
25.12.2024 17:55:46 UTC+03:00,"Что делать если мне нравится блондинчик из медиа, но у него пиздец странные друзья... Прям 🤮"
25.12.2024 18:05:37 UTC+03:00,Жуковский свободен?
25.12.2024 18:05:50 UTC+03:00,дайте юз андрея или артёма из 9 общеобразовательного понравились 😻
25.12.2024 18:06:01 UTC+03:00,Киньте юз девушки бернштейна и девушки которая нравится Шамову интересно
25.12.2024 18:06:12 UTC+03:00,
25.12.2024 18:06:29 UTC+03:00,"Как вам мальчик опустошитель куллеров, шер20"
25.12.2024 18:06:36 UTC+03:00,"https://t.me/c/2455368652/385Это не чел из ""З"" класса?"
25.12.2024 18:06:45 UTC+03:00,https://t.me/c/2455368652/365а кто-то из девочек реально пригласил?
25.12.2024 18:06:57 UTC+03:00,с наступающим долбоеб
25.12.2024 18:07:06 UTC+03:00,https://t.me/c/2455368652/385смириться и замутитькак зовут то этого блондинчика?
25.12.2024 18:07:27 UTC+03:00,https://t.me/c/2455368652/385можно поподробнее как он выглядит и из какого медиа 10/11
25.12.2024 18:07:36 UTC+03:00,"https://t.me/c/2455368652/385В медиа классе вообще ебанутые учатся все, ну максимум человек 5 норм"
25.12.2024 18:07:59 UTC+03:00,ХАХАХАХАХАХАХХАХАХАХАХАХАХАХАХАХАХАХАХАХХАХААХХАhttps://t.me/c/2499435707/2583?thread=2582
25.12.2024 18:18:28 UTC+03:00,"У нас есть в школе ну ооочень красивые девочки, но они все какие-то ебанутые. Одна сосала, другая парит, другая двух слов связать не может"
25.12.2024 18:18:36 UTC+03:00,Как относитесь к 9я?
25.12.2024 18:18:46 UTC+03:00,"https://t.me/c/2455368652/385Из 10, красивый пиздец но он вечно с его мерзкими друзьями, я хочу к нему подойти но мне от его друзей стрёмно"
25.12.2024 18:18:50 UTC+03:00,https://t.me/c/2455368652/39610 медиа просто пиздец
25.12.2024 18:51:11 UTC+03:00,Мне очень понравился накаченый чурка🤤🤤 из 9 мат класса вроде л класс хочу познакомится но он шумный какой та😧
25.12.2024 18:51:29 UTC+03:00,"Вы что, совсем рехнулись? Обсуждаете свою любовь в школе блять. Кто в школе должен быть нормальным и серьезным? Все на плюс вайбе и только единицы хотят уже отношений...Хотя на себя посмотрите. Говорите, что какой-то тип даун, в сами-то что?"
25.12.2024 18:51:38 UTC+03:00,https://t.me/c/2455368652/400а можно в чем он ходит хотя бы сказать?
25.12.2024 18:51:47 UTC+03:00,"https://t.me/c/2455368652/398не всеесть очень красивые и к тому же добрые, не курят не пьют, но какие-то недоступные что ли"
25.12.2024 19:21:47 UTC+03:00,https://t.me/c/2455368652/403это всегда было и будет в чем прикол
25.12.2024 19:21:52 UTC+03:00,https://t.me/c/2455368652/405кто например
25.12.2024 19:21:57 UTC+03:00,"https://t.me/c/2455368652/405Ну даже если курит, это не означает, что она плохая или ебнутая. Может у нее характер милый и она очень комфортный человек в общении"
25.12.2024 19:22:04 UTC+03:00,https://t.me/c/2455368652/388Юз хз но Шамову нравиться девочка из 9э
25.12.2024 19:30:43 UTC+03:00,отьебитесь от шамова
25.12.2024 20:21:00 UTC+03:00,какие мальчики в 1474 ущербные 😭
26.12.2024 00:06:49 UTC+03:00,Че с 9ю?
26.12.2024 00:07:05 UTC+03:00,"https://t.me/c/2455368652/411есть норм мальчики, но они блять либо встречаются с кем-то, либо у них такая высокая самооценка, что пиздец."
26.12.2024 00:07:19 UTC+03:00,"https://t.me/c/2499435707/2583?thread=2582Я куда не взгляну практически все девочки красивые. А парни это пиздец. У нас +- красивые парней от силы 8-10, остальные полное уебище или сигмы нахуй"
26.12.2024 00:07:59 UTC+03:00,"https://t.me/c/2455368652/411помолчи хуета, сиди в обиде ребёнок мертвой шалавы Заебись невъебенным проебом тримандоблядская пиздопроебина воспиздозаолупоклинившаяся в собственном злопиздии.пиздобратия мандопроушечная, уебище залупоглазое, дрочепиздище хуеголовое, пробиздоблядская мандопроушина, гнидопаскудная хуемандовина, ах ты блядь семитаборная чтоб тебя всем столыпином харили, охуевшее блядепиздопроёбище чтоб ты хуем поперхнулся долбоебическая пиздорвань, хуй тебе в глотку через анальный проход, распизди тебя тройным перебором через вторичный переёб пиздоблятское хуепиздрическое мудовафлоебище сосущее километры трипперных членов, трихломидозопиздоеблохуе блядеперепиздическая спермоблевотина, гандон с гонореей... Да разъебись ты троебучим проебом сперматоблятская пиздапроебина охуевающая в своей пидарастической сущности похожаю на ебущегося в жопу енота, сортирующего яйца в пизде кастрированной кобылы. Хуелептический пиздопрозоид, еблоухий мандохвост. Ебун хуеголовый, пидрасня ебаная. Залупоголовая блядоящерица. Трипиздоблядская промудохуина! Распроеб твою в крестище через коромысло в копейку мать! Что за блядская пиздопроебина, охуевающая своей пидорестической заебучестью невъебенной степени охуения. Заебись невъебенным проебом тримандоблядская пиздопроебина воспиздозаолупоклинившаяся в собственном злопиздии. Мордоблядина залупоглазая. Ебись ты триебучим проебом пиздуй пока трамваи ходят. Склипездень двужопостворчатый. Злоебучее страхопиздище трипиздоблятский мандопроеб найвыебенищее распиздоблятство! Застрявший в ебенгво гавнопрягопизд отпизднутый от хуеблища и ебанагандонный хуепедераст. Мудагавнопердь. Стоебучее страхопиздище охуевающее в собственной пидарастической злоебучести... Cемиголовый восьмихуй с четырьмя пиздопроебинами. Облямудевшая страпиздихуюлина. Пидористический мудаблядин. Трипездоклятый мудопроеб. Промудохуеблядская пиздопроебина, невьебенно охуевающая от своей собственной облядипизденелости. Трипиздоблядское мудопроебное трипиздие, ебоблядище охуевающее от собственной злоебучести. Облямуденный злоебучий страхопизднутый трихуемандаблядский ебаквакнутый распиздаеб... Да разъебись ты триебучим проебом хуепуполо залупоглазое, промонодблядская трипиздыпроебина. Хуеблядская пиздопроебина. Да разъебись ты тризлоебучим пробиздом тримандаблядская пиздопроушина охуевающая от собственного блядского невъебения! Шлюшья мразота приохуебенивающая от собственного недохуеплетского злоетрахания. Да произпездуй с 2000 этажа своей припиздоблядской тушей на землю в труху! Трипиздоблядское мудопроебное трипиздие, ебоблядище охуевающее от собственной злоебучести. Облямуденный злоебучий страхопизднутый трихуемандаблядский ебаквакнутый распиздаеб... Хуесосляблядивый расхуйдяй припиздоблядского четвертоногого происхождения прошу завали свой хуеобрыганский блядозвукоговоритель. Промудохуепиздамразоблядское злоепиздие, ебоблядищая пиздопроебина сама ахуевающее от того какая оно пездоблядехуепроклятое. Обосробосанная пиздоблядмна двадцати головая семихуюлина припиздовывающее от хуеглотности своей трипиздговноглоталки. Облямудевшая хуеблядина четырестохуйная и двестипёздная мразотоблядская шлюхасосалка.Хуесосная мудохуепиздопроебная мудаблядина сукв безмаманя блядь шмара козельуебок сдохни хуесоска  ебланафт чмырь пидорска манда тупая гандопляс пидрила ебалай долбоеб обмудок овцееб дауниха ненавижу гомодрилла сучка шлюха трахарила гавносос миньетчик пидэраст пиздоеб хуеплет кончиглот ебище сын шлюхи гавноеб мудяра еботрон вафлеглот ебалдуй захуятор имбицил подонок пиздопромудище выебок ахуяэетер ебозер пиздолиз злоуебок хуиман ебил долбоебина пиндос мудазвон хуеб амеба хуйло хуила пиздорвань смесь ебланства и говна ебанат умалишенный дегенерат мандопроушина очкоблут порванный обрубок хуяраспиздяй свинозалупа семиголовый восьмихуй ебоблядище свинохуярище вафлепиздище хуй лохматый жопа рванная мудопроеб страхапиздище ебосос дурфанка косоуебище долбоногий лихохуетень"
26.12.2024 00:08:10 UTC+03:00,какие девочки в 1474 тупые ущербные даунихи 😭
26.12.2024 00:08:16 UTC+03:00,https://t.me/c/2455368652/411моя Ксюшечка с тобой не согласна
26.12.2024 00:08:23 UTC+03:00,"Что за хрень в чате происходила, почему там +300 сообщений…"
26.12.2024 12:31:55 UTC+03:00,https://t.me/c/2455368652/414когда переходила в эту школу рассчитывала найти хорошего мальчика(
26.12.2024 12:32:45 UTC+03:00,
26.12.2024 12:33:10 UTC+03:00,https://t.me/c/2455368652/414вот например илья морозкин очень красивый и приятный в общении мальчик
26.12.2024 12:33:27 UTC+03:00,https://t.me/c/2455368652/416оvenom
26.12.2024 12:34:13 UTC+03:00,"🍊 У тебя новое анонимное сообщение!У нас есть в школе ну ооочень красивые девочки, но они все какие-то ебанутые. Одна сосала, другая парит, другая двух слов связать не может↩️ Свайпни для ответа.Бро ты никогда не задумывался зачем девочкам это надо ? Сосать или делать интимные фотографии? Типо камон они же не сами для себя это делают , когда девочка влюбляется естественно как здоровый любящий человек она хочет сделать все что хочет ее партнер , а иногда такие мэны как большинство (ну или какая-то часть) в нашей шк давят на девочек только для того что бы та подстелилась и по итогу легла под него , так что прежде чем говорить что девочки шлюхи проанализируй с кого все это начинается"
26.12.2024 12:34:34 UTC+03:00,"Ребят, кто может дать ракетки и шарик для настольного тенниса на урок?"
26.12.2024 12:34:46 UTC+03:00,Кто потерял пасито про в крксной расцветке на 33б?
26.12.2024 12:34:55 UTC+03:00,"minosuprime, он сказал, что каждого уработает в драке 👹"
26.12.2024 14:36:51 UTC+03:00,"Вы говорите что в 1474 нет нормальных мальчиков вы чтоо, как же Андрей Антипов из 9п, он такой красавчик еще умный и харизматичный и еще и такой секси я прям вся теку когда его вижу 😍😍😍"
26.12.2024 14:36:58 UTC+03:00,Где контент
26.12.2024 14:37:06 UTC+03:00,"а правда, что миноса прайм изобьют?"
26.12.2024 18:12:36 UTC+03:00,как зовут мальчика с лева? хочу познакомиться)))
26.12.2024 18:12:47 UTC+03:00,Парни поздравьте меня я прайм в кс купил
26.12.2024 18:13:51 UTC+03:00,
27.12.2024 01:23:58 UTC+03:00,андрей из 9Э ты свободен ???
27.12.2024 01:24:10 UTC+03:00,https://t.me/c/2455368652/431Этого сексуального мальчика слева даня зовутНо есть ньюанс
27.12.2024 01:24:22 UTC+03:00,Кто будет 28 декабря учиться?
27.12.2024 01:24:32 UTC+03:00,Как относитесь к 9ю?
27.12.2024 01:24:40 UTC+03:00,Как продать подругу цыганам
27.12.2024 01:24:48 UTC+03:00,Дайте юз динозавра
27.12.2024 01:29:39 UTC+03:00,https://t.me/c/2455368652/434не я занят
27.12.2024 09:08:54 UTC+03:00,"https://t.me/c/2455368652/440кем? ты же расстался со своей девушкой, или уже новую нашел?"
27.12.2024 09:09:06 UTC+03:00,
27.12.2024 09:09:12 UTC+03:00,А Кира из 9ф вообще под кого косит? Какого оно пола?
27.12.2024 09:10:44 UTC+03:00,https://t.me/c/2455368652/441а тя че ебет дохуя что ли или че ?
27.12.2024 09:11:22 UTC+03:00,"адм анна, ты заебала мя, хули в чат писать нельзя"
27.12.2024 09:13:08 UTC+03:00,"https://t.me/c/2455368652/445да она уже в край озверела, я её ночью с десятью неграми выебу"
27.12.2024 09:30:43 UTC+03:00,Почему такого не было?
27.12.2024 10:11:29 UTC+03:00,
27.12.2024 10:13:15 UTC+03:00,как относитесь к 9г?
27.12.2024 10:45:25 UTC+03:00,#россиюнепобедить
27.12.2024 11:10:29 UTC+03:00,"https://t.me/c/2455368652/444да, очень"
27.12.2024 14:22:59 UTC+03:00,
27.12.2024 14:23:06 UTC+03:00,https://t.me/c/2455368652/443а тебя это ебать не должно
27.12.2024 14:23:13 UTC+03:00,Какой профиль э?
27.12.2024 14:23:20 UTC+03:00,Коле из 9в нравится кто-то?
27.12.2024 15:41:09 UTC+03:00,https://t.me/c/2455368652/457большие города...
27.12.2024 20:45:08 UTC+03:00,Скиньте тг бывшей Андрея из Э плз
27.12.2024 21:47:32 UTC+03:00,как понравиться парню?
28.12.2024 00:57:18 UTC+03:00,"https://t.me/c/2455368652/462говори что за парнишка, я уже всех завоевала и всем дала, помогу любого завоевать нахуй😳😅😅😅🤤🤤"
28.12.2024 12:16:52 UTC+03:00,https://t.me/c/2455368652/463ты Вера Пискунова что-ли?
28.12.2024 17:10:23 UTC+03:00,"https://t.me/c/2455368652/465не, я дарья волкова)"
28.12.2024 17:10:27 UTC+03:00,какой профиль и?
28.12.2024 20:14:19 UTC+03:00,"Какой же блондин из медиа противный это просто пиздец, который в очках ходит ещё"
28.12.2024 20:14:23 UTC+03:00,600к просмотров в тиктоке
30.12.2024 11:49:43 UTC+03:00,я пидарас
30.12.2024 14:16:10 UTC+03:00,Гойда или зов
30.12.2024 14:16:33 UTC+03:00,"https://t.me/c/2455368652/385Ну какие друзья, такой и человекОн тоже ебнутый, лучше не надо реал"
31.12.2024 00:37:22 UTC+03:00,
31.12.2024 00:39:02 UTC+03:00,Кто напишет venom под этим постом до 2025 года тот будет настоящим venom
31.12.2024 15:52:28 UTC+03:00,can i fight fred durst
31.12.2024 15:52:47 UTC+03:00,ВСЕХ С НАСТУПАЮЩИМ НОВЫМ ГОЛОМ ❄️❄️❄️☃️☃️☃️☃️☃️🎄🎄🎄🎄🎄🍪🍪🍪
31.12.2024 15:54:02 UTC+03:00,У меня 2025 год уже как час 53 минуты
31.12.2024 16:06:28 UTC+03:00,С Новой Гойдой !
31.12.2024 19:43:12 UTC+03:00,"как думаете, признаться ему в 00:00?"
31.12.2024 19:43:20 UTC+03:00,Happy new venom
31.12.2024 19:43:27 UTC+03:00,Всех с новым Zovом!🍾🍾🍾
01.01.2025 02:02:37 UTC+03:00,https://t.me/c/2455368652/480Да
01.01.2025 02:02:42 UTC+03:00,"С НАСТУПАЮЩИМ НОВЫМ ГОДОМ, ВСЕМ СЧАСТЬЯ 🎄☃️❄️🎉"
01.01.2025 02:02:50 UTC+03:00,А вы знали что фонкеры такие долбоебы я хуе с них такие клоуны 🤡
01.01.2025 02:02:55 UTC+03:00,С НОВЫМ ГОДОМ 1474 🎄🎄🎄🎄🎄🎁🎁🎁🎁🎁🎄🎄🎄🎄🎄🎄🎄🎄
01.01.2025 02:04:44 UTC+03:00,"Всех с новым годом! Желаю хорошо сдать ОГЭ, хороших оценок и успехов в жизни!!🎉"
01.01.2025 21:39:38 UTC+03:00,БЛЯТЬ КТО НИБУДЬ ЗНАЕТ КТО ЭТО??? СРОЧНЯКОМ НАДО А ТО МНЕ ПЗДЦ
01.01.2025 21:39:50 UTC+03:00,https://t.me/c/2455368652/485Автор тейка может под этот пост написать если не еблан💋
02.01.2025 00:30:12 UTC+03:00,Го под этот пост много звёздочек
03.01.2025 16:58:43 UTC+03:00,го подрочим
04.01.2025 15:55:28 UTC+03:00,"Пошлите гулять , мне скучно"
05.01.2025 17:12:28 UTC+03:00,В игре в кальмара показали samsung z flip 3😱
06.01.2025 22:00:38 UTC+03:00,раст+соня(8а)= канон
06.01.2025 22:41:29 UTC+03:00,Say+Gex=my friends
07.01.2025 09:18:18 UTC+03:00,Позер лыжный выставил опять историю бегом смотреть)
08.01.2025 00:19:56 UTC+03:00,Яна Дума
08.01.2025 00:20:18 UTC+03:00,
08.01.2025 02:05:33 UTC+03:00,"Как зовут лысого мальчика из 9п? И можете дать его юз, очень надо 🙏"
08.01.2025 17:56:30 UTC+03:00,https://t.me/c/2455368652/499Антипов Андрей
08.01.2025 17:56:35 UTC+03:00,
08.01.2025 17:56:45 UTC+03:00,
08.01.2025 18:08:22 UTC+03:00,Вся хуйня кончается на АянА думА шлюхА
09.01.2025 11:25:45 UTC+03:00,"есть первый варик кр тихомировой ???? скиньте пж, очень важно"
09.01.2025 12:56:32 UTC+03:00,кто писал кр у светланки по химии?есть работа?
09.01.2025 12:56:40 UTC+03:00,"Всем привет, я Симонов Кирилл и я хочу создать свою организацию на фэйсите,мы ищем двух перспективных молодых ребят на роль б опорника и рифлера.По вопросам писать  kiryaaa1"
10.01.2025 07:34:32 UTC+03:00,а андрей из 9Э свободен?
10.01.2025 08:29:30 UTC+03:00,"https://t.me/c/2455368652/509Нет блять, он куплен уже.У нас тут как бы эпоха СВОбодных людей :/"
10.01.2025 08:29:35 UTC+03:00,https://t.me/c/2455368652/509Андрей из 9 П свободен
10.01.2025 17:29:58 UTC+03:00,Гриша из 9м занят ?
10.01.2025 17:30:06 UTC+03:00,Почему Вероника из 9ф такая душнила?
10.01.2025 17:30:13 UTC+03:00,Вероника 9ф всегда такая уебищная?
10.01.2025 17:30:21 UTC+03:00,У Вероники из 9м есть парень? хочу познакомиться.
10.01.2025 17:30:31 UTC+03:00,
10.01.2025 17:30:39 UTC+03:00,Яромир это просто какой-то пиздец хахахахахахахаахаххахахахахха
10.01.2025 17:30:43 UTC+03:00,Всем привет! Приглашаем всю школу к Кириллу Киму из 10в на хату в 18:00! Всех ждём
10.01.2025 22:51:05 UTC+03:00,https://t.me/c/2455368652/518а адрес то какой?
10.01.2025 22:51:13 UTC+03:00,ребят срочн где можно продать акк в стэнде? посоветуйте срочно плз 🙏
10.01.2025 22:51:21 UTC+03:00,https://t.me/c/2455368652/514а че почему??
10.01.2025 22:51:28 UTC+03:00,https://t.me/c/2455368652/518дайте адрес!
11.01.2025 03:27:15 UTC+03:00,"Интересно тут у вас. Стэндоф, оскорбления публичные, сборы в квартире... Вау!"
11.01.2025 03:27:20 UTC+03:00,"https://t.me/c/2455368652/520Кидай скрины,мб я куплю"
11.01.2025 03:27:46 UTC+03:00,Даня из 9м занят??? 💖💖💖
11.01.2025 03:27:58 UTC+03:00,https://t.me/c/2455368652/518скиньте тг кирилла
11.01.2025 03:28:11 UTC+03:00,есть фотка контрольной по химии у жабы ?
11.01.2025 17:19:59 UTC+03:00,куда можно пойти работать в 15 лет? Деньги нужны срочно
11.01.2025 17:20:02 UTC+03:00,
11.01.2025 22:51:43 UTC+03:00,Миллион... Прямо на... СВОhttps://t.me/c/2455368652/528
11.01.2025 22:51:51 UTC+03:00,https://t.me/c/2455368652/528можно сосать хуи за деньги имба тема я проверил
11.01.2025 22:51:58 UTC+03:00,дайте тг Маши из 9э
11.01.2025 22:54:58 UTC+03:00,у нового президента girlfriend есть?)
12.01.2025 00:11:22 UTC+03:00,https://t.me/c/2455368652/532Обойдешься
12.01.2025 00:19:33 UTC+03:00,Захар из 9я занят???😳
12.01.2025 00:33:06 UTC+03:00,https://t.me/c/2455368652/534кто же это так отвечает
12.01.2025 00:33:15 UTC+03:00,У Насти Белецкой есть парень? Оч нужно🙏
12.01.2025 00:33:25 UTC+03:00,"как зовут мальчика,такой ростом +- 170,волосы немного как каре,в зипке черной адидас ходит"
12.01.2025 00:38:08 UTC+03:00,с 33б
12.01.2025 00:38:15 UTC+03:00,https://t.me/c/2455368652/538какой класс или здание?
12.01.2025 00:43:04 UTC+03:00,"https://t.me/c/2455368652/54033б,9й"
12.01.2025 00:51:42 UTC+03:00,Тут только 9-ые?
12.01.2025 00:51:50 UTC+03:00,https://t.me/c/2455368652/532зачем
12.01.2025 00:51:55 UTC+03:00,https://t.me/c/2455368652/541Гой?
12.01.2025 00:58:25 UTC+03:00,"ребят, срочно если есть скиньте задание/ответы по химии на контрольную у 9(у дабы)"
12.01.2025 00:59:48 UTC+03:00,"https://t.me/c/2455368652/546кидали, поищи"
12.01.2025 01:20:16 UTC+03:00,https://t.me/c/2455368652/544Познакомиться хочу
12.01.2025 01:20:21 UTC+03:00,Как относитесь к 9я классу?
12.01.2025 01:20:28 UTC+03:00,Кто из 9 кадетки красивый
12.01.2025 01:20:38 UTC+03:00,что здесь за чат для знакомств нахуй
12.01.2025 01:22:34 UTC+03:00,https://t.me/c/2455368652/548Много хочешь. И в 9Э две Маши
12.01.2025 01:31:32 UTC+03:00,https://t.me/c/2455368652/538из 9 ???
12.01.2025 01:31:49 UTC+03:00,https://t.me/c/2455368652/538я мб знаю о ком ты юз дай
12.01.2025 01:33:18 UTC+03:00,А у кого вши на 33б?Вроде из медиа
12.01.2025 01:33:24 UTC+03:00,https://t.me/c/2455368652/553да
12.01.2025 01:37:06 UTC+03:00,вы такой мусор пишите
12.01.2025 01:40:05 UTC+03:00,https://t.me/c/2455368652/538короче кто хочет познакомится могу дать юз пишите  slatt1678
12.01.2025 12:06:11 UTC+03:00,"https://t.me/c/2455368652/558Slat, нахуя тебе писать? Долбоёб с дединсайд-аниме авой. Кринж, -rep"
12.01.2025 13:09:33 UTC+03:00,"Пиздец,что здесь за дайвинчик нахуй"
12.01.2025 13:09:38 UTC+03:00,https://t.me/c/2455368652/555уже нет ни у кого
12.01.2025 13:58:06 UTC+03:00,У кого был опрос по биологии у Петра 9 класс?Есть ответы пожалуйста?
12.01.2025 15:51:58 UTC+03:00,скиньте кр по химии юрьевой 9 класс
12.01.2025 17:52:31 UTC+03:00,скиньте фото топчина Дениса
12.01.2025 22:20:55 UTC+03:00,
12.01.2025 22:22:47 UTC+03:00,galla 12 или galla 24?
12.01.2025 22:26:49 UTC+03:00,https://t.me/c/2455368652/564
12.01.2025 22:51:06 UTC+03:00,https://t.me/c/2455368652/567Зачем фото других сливать..?
12.01.2025 22:57:32 UTC+03:00,
13.01.2025 08:18:04 UTC+03:00,https://t.me/c/2455368652/565
13.01.2025 08:18:28 UTC+03:00,Участники подслушано делиться на 4 категории:1. Кто ничего не пишет2. Кто хочет знакомится3. Кто просить ответы4. Кто кидает фоткиАэаэеэаэаэеэаэаэеэеэ
13.01.2025 14:14:18 UTC+03:00,"сукисменку хули не показывалитвари, которые проходили без сменки и игнорили дежурных- идите нахуйкто согласен, ставьте ❤️‍🔥"
13.01.2025 14:14:43 UTC+03:00,
13.01.2025 14:14:53 UTC+03:00,Блондинчик из медиа шикарен
13.01.2025 15:24:41 UTC+03:00,Светлана Анатольевна свободна???
13.01.2025 20:09:49 UTC+03:00,https://t.me/c/2455368652/575Мою жену не трогать
13.01.2025 20:09:57 UTC+03:00,https://t.me/c/2455368652/574И в окно)
13.01.2025 20:10:04 UTC+03:00,дайте тг димы павлова из 9 общеобразовательного
13.01.2025 20:10:09 UTC+03:00,У Давида из 9и есть девушка?
13.01.2025 22:02:20 UTC+03:00,https://t.me/c/2455368652/579он еблан не знакомьтесь
13.01.2025 22:02:29 UTC+03:00,https://t.me/c/2455368652/578Вы што у него блять голова 5 лет не мытая
13.01.2025 22:02:34 UTC+03:00,Юрий Сергеевич свободный?]
13.01.2025 22:02:42 UTC+03:00,Скажите норм игры на нинтендо
13.01.2025 22:36:55 UTC+03:00,Соловьев Олег свободен?
13.01.2025 22:37:06 UTC+03:00,"https://t.me/c/2455368652/567ебать он красивый, у него девушка есть?"
13.01.2025 22:38:15 UTC+03:00,"https://t.me/c/2455368652/579если он кинет вам подарок то продайте его нахуй, не будьте долбаебами"
13.01.2025 22:38:28 UTC+03:00,https://t.me/c/2455368652/585Да
13.01.2025 22:39:06 UTC+03:00,https://t.me/c/2455368652/587Как её звать?
13.01.2025 22:40:29 UTC+03:00,https://t.me/c/2455368652/588секрет
13.01.2025 22:40:41 UTC+03:00,Какие нормативы гто для девятых классов
13.01.2025 22:47:19 UTC+03:00,"катя я люблю тебя, признайся уже"
13.01.2025 22:48:09 UTC+03:00,https://t.me/c/2455368652/584нет
13.01.2025 22:48:16 UTC+03:00,https://t.me/c/2455368652/588Полина вроде
13.01.2025 22:48:28 UTC+03:00,Главный пидарюга мира свободен?
13.01.2025 22:49:34 UTC+03:00,https://t.me/c/2455368652/588Хз как звать но ей вроде 12 и она полторашка
13.01.2025 23:32:16 UTC+03:00,скучаю по старым сплетницам😢
13.01.2025 23:32:25 UTC+03:00,https://t.me/c/2455368652/588Вика по моему
13.01.2025 23:32:38 UTC+03:00,го топ  5 красивых девочек из 9
13.01.2025 23:36:39 UTC+03:00,выставляю на торги  ГОЛУЮ ПОПУ гоши хомякова из 10б 🔥первоначальная цена 20 рублей
13.01.2025 23:36:47 UTC+03:00,https://t.me/c/2455368652/5981 химичка2 химичка3 химичка4 химичка5 химичка
13.01.2025 23:42:26 UTC+03:00,Как зовут девушку из 9 и в очках ещё которая
13.01.2025 23:42:32 UTC+03:00,"9 классы, кто в соцпсих хочет в 10 пойти?"
13.01.2025 23:42:50 UTC+03:00,
14.01.2025 00:20:38 UTC+03:00,"https://t.me/c/2455368652/601Как зовут девушку из 9? она ещё такая эээээээ хз не знаю, надеюсь поможете найти"
15.01.2025 00:31:12 UTC+03:00,9 классы заебали уже
15.01.2025 00:31:24 UTC+03:00,"блять я больше не могу, девочка с 33б в черной кофте, клеш джинсах и чокером, она свободна?😭"
15.01.2025 00:31:32 UTC+03:00,"В 9 ю есть хорошие девочки,одна из них Горшкова,Ксюша вроде,еще пару хороших видео"
15.01.2025 00:31:43 UTC+03:00,у димы из 9 а девушка есть? мозарев или музаферав че то такое
15.01.2025 00:31:59 UTC+03:00,https://t.me/c/2455368652/604ну ты опиши одежду хотя бы
15.01.2025 00:32:04 UTC+03:00,Торбина свободна?
15.01.2025 00:32:11 UTC+03:00,"https://t.me/c/2455368652/604дай более точное описание,одежда,класс,волосы"
15.01.2025 00:32:26 UTC+03:00,"ребят, подскажите, как по кьюарколу входитьгде этот кьюаркод искать?"
15.01.2025 00:32:35 UTC+03:00,кто нибудь писал кр по обществу у мироновой 9 класс?(по конституции)скиньте фотку если есть
15.01.2025 00:32:47 UTC+03:00,"люди, срочнокто будет в 407 кабинете, можете посмотретьтам не лежит где то черный, полупрозрачный тонкий пенал??умоляю, отнесите на охрану🙏🙏"
15.01.2025 00:32:56 UTC+03:00,У кого была работа по конституции общество  Ирина БорисовнаСкиньте прошу 🙏🏻
15.01.2025 00:33:17 UTC+03:00,сипнул хакагэ линчэка
